ratio_A,ratio_B,ratio_C,ratio_D,ratio_E,Time,crystallized,diffusion,Lewis-base,Lewis-acid,topology,halogen-bond,π-stacking,anion-π,cation-π,hydrogen-bond,adsorption,crystallized_citydistance,Gibbis  free energy ΔG,reorganization,activation-energy,exciton,dipoles,averageC_Cbondlength,max_distance,distance_functiongroup_moleculecenter,total dipole moment,α-homo,α-lumo,α-gap,main_chain_angle,polaron_Euclidean distance,bipolaron_Euclidean distance,stability
0.72,0.24,0.02,0.01,0.01,100,0.804903,0.86516598,1.1561621,1.09280234,0.234819224,0.95284533,0.60877768,0.62666958,0.59947614,0.84370749,0.71124101,162.886769,0.61764344,0.74162537,0.41695312,0.37849724,0.41642264,2.7745,9.143,4.088,5.73510309,-19.80444604,10.16073118,15.73362284,337.72,16.0476988,16.0621033,1
0.72,0.24,0.02,0.01,0.01,150,0.804903,0.86516598,1.1561621,1.09280234,0.234819224,0.95284533,0.60877768,0.62666958,0.59947614,0.84370749,0.71124101,162.886769,0.61764344,0.74162537,0.41695312,0.37849724,0.41642264,2.7745,9.143,4.088,5.73510309,-19.80444604,10.16073118,15.73362284,337.72,16.0476988,16.0621033,1
0.6,0.32,0.1,0.1,0.2,50,0.8321023,0.91175811,1.3600554,1.27635002,0.28407338,0.99699175,0.65900682,0.68482099,0.73602872,0.87015908,0.88548577,147.598271,0.79919121,0.64512046,0.69448059,0.50170421,0.38645719,2.887,10.636,4.307,3.5383674,-20.0275794,9.077718053,14.87374307,349.524,14.3754853,14.4589963,0
0.6,0.32,0.1,0.1,0.2,100,0.8321023,0.91175811,1.3600554,1.27635002,0.28407338,0.99699175,0.65900682,0.68482099,0.73602872,0.87015908,0.88548577,147.598271,0.79919121,0.64512046,0.69448059,0.50170421,0.38645719,2.887,10.636,4.307,3.5383674,-20.0275794,9.077718053,14.87374307,349.524,14.3754853,14.4589963,0
0.72,0.24,0.02,0.01,0.01,200,0.69476758,0.72717386,1.06918817,0.96754292,0.310007684,0.86425441,0.53034098,0.61896852,0.62975599,0.77435397,0.60213271,164.724667,0.60039426,0.63575123,0.30528031,0.34738749,0.40745627,4.356,14.758,4.6685,8.095176543,-21.61400315,3.589181688,25.20318483,332.311,17.0827566,17.1838105,1
0.72,0.24,0.02,0.01,0.01,50,0.69476758,0.72717386,1.06918817,0.96754292,0.310007684,0.86425441,0.53034098,0.61896852,0.62975599,0.77435397,0.60213271,164.724667,0.60039426,0.63575123,0.30528031,0.34738749,0.40745627,4.356,14.758,4.6685,8.095176543,-21.61400315,3.589181688,25.20318483,332.311,17.0827566,17.1838105,1
0.72,0.24,0.02,0.01,0.01,100,0.69476758,0.72717386,1.06918817,0.96754292,0.310007684,0.86425441,0.53034098,0.61896852,0.62975599,0.77435397,0.60213271,164.724667,0.60039426,0.63575123,0.30528031,0.34738749,0.40745627,4.356,14.758,4.6685,8.095176543,-21.61400315,3.589181688,25.20318483,332.311,17.0827566,17.1838105,1
0.72,0.24,0.02,0.01,0.01,150,0.69476758,0.72717386,1.06918817,0.96754292,0.310007684,0.86425441,0.53034098,0.61896852,0.62975599,0.77435397,0.60213271,164.724667,0.60039426,0.63575123,0.30528031,0.34738749,0.40745627,4.356,14.758,4.6685,8.095176543,-21.61400315,3.589181688,25.20318483,332.311,17.0827566,17.1838105,1
0.72,0.24,0.02,0.01,0.01,200,0.72952437,0.80858357,1.19528008,1.04582241,0.269526174,0.88691321,0.72266283,0.63921845,0.73854899,0.87887837,0.77648501,163.262692,0.75371437,0.75732981,0.50841114,0.449860785,0.54419865,4.5285,13.937,3.762,5.142348864,-23.09430249,5.839563232,28.93386572,220.75,15.7600076,16.1545108,0
0.72,0.24,0.02,0.01,0.01,50,0.72952437,0.80858357,1.19528008,1.04582241,0.269526174,0.88691321,0.72266283,0.63921845,0.73854899,0.87887837,0.77648501,163.262692,0.75371437,0.75732981,0.50841114,0.449860785,0.54419865,4.5285,13.937,3.762,5.142348864,-23.09430249,5.839563232,28.93386572,220.75,15.7600076,16.1545108,1
